handle,fieldType,name,visible,plainDescription,categorySlugs,primaryCategorySlug,media,mediaAltText,ribbon,brand,price,strikethroughPrice,cost,inventory,preOrderEnabled,preOrderMessage,preOrderLimit,sku,barcode,weight,baseUnit,baseUnitMeasurement,totalUnits,totalUnitsMeasurement,productOptionName1,productOptionType1,productOptionChoices1,productOptionName2,productOptionType2,productOptionChoices2,productOptionName3,productOptionType3,productOptionChoices3,productOptionName4,productOptionType4,productOptionChoices4,productOptionName5,productOptionType5,productOptionChoices5,productOptionName6,productOptionType6,productOptionChoices6,modifierName1,modifierType1,modifierCharLimit1,modifierMandatory1,modifierDescription1,modifierName2,modifierType2,modifierCharLimit2,modifierMandatory2,modifierDescription2,modifierName3,modifierType3,modifierCharLimit3,modifierMandatory3,modifierDescription3,modifierName4,modifierType4,modifierCharLimit4,modifierMandatory4,modifierDescription4,modifierName5,modifierType5,modifierCharLimit5,modifierMandatory5,modifierDescription5,modifierName6,modifierType6,modifierCharLimit6,modifierMandatory6,modifierDescription6,modifierName7,modifierType7,modifierCharLimit7,modifierMandatory7,modifierDescription7,modifierName8,modifierType8,modifierCharLimit8,modifierMandatory8,modifierDescription8,modifierName9,modifierType9,modifierCharLimit9,modifierMandatory9,modifierDescription9,modifierName10,modifierType10,modifierCharLimit10,modifierMandatory10,modifierDescription10
Product_50cc7849-1735-4e8c-836f-7bb60138311a,PRODUCT,Elegant Bow Heart Drop Earrings – 18K Gold Plated Stainless Steel,true,"<p>Add a touch of romance to your everyday look with these elegant bow heart drop earrings. Crafted from high-quality stainless steel and finished with luxurious 18K gold plating, these earrings are lightweight, durable, and perfect for daily wear. The delicate bow design paired with a heart charm makes them ideal for gifting or styling with both casual and festive outfits.</p>",earrings,earrings,,,New,Luxereva,899,1999,,IN_STOCK,false,,,L1030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_50cc7849-1735-4e8c-836f-7bb60138311a,MEDIA,,,,,,b10e01_5ad4133d1f0646ecb2480559c6230dae~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_50cc7849-1735-4e8c-836f-7bb60138311a,MEDIA,,,,,,b10e01_11a42b1c53664ee3b80281e3d3cb0989~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_e9a33886-b767-4e63-83b6-774ea47d4412,PRODUCT,Butterfly Chain Tassel Earrings – 18K Gold Plated Statement Drops,true,"<p>Make a bold yet graceful statement with these butterfly chain tassel earrings. Designed with a charming butterfly motif and flowing chain drops, these earrings bring movement and elegance to your look. Made with anti-tarnish stainless steel and 18K gold plating, they are perfect for parties, date nights, and special occasions.</p>",earrings,earrings,,,New,Luxereva,899,1999,,IN_STOCK,false,,,L1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_e9a33886-b767-4e63-83b6-774ea47d4412,MEDIA,,,,,,b10e01_d7e25d542c9543d8a1eaabd383e256d2~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_e9a33886-b767-4e63-83b6-774ea47d4412,MEDIA,,,,,,b10e01_fefd78c046704a17b064f0aa236f0c4b~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_77c799e3-7afa-4ee0-b2e8-af47c3ce70ff,PRODUCT,Abstract Gold Leaf Statement Earrings – 18K Gold Plated Stainless Steel,true,"<p>Stand out with these artistic abstract gold leaf earrings, designed for modern elegance. Featuring a bold sculpted shape with a premium 18K gold finish, these earrings are perfect for fashion-forward styling. Durable, lightweight, and skin-friendly, they are ideal for elevating any outfit effortlessly.</p>",earrings,earrings,,,,Luxereva,899,1999,,IN_STOCK,false,,,L1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_77c799e3-7afa-4ee0-b2e8-af47c3ce70ff,MEDIA,,,,,,b10e01_3a791a761bba4ba5bcd51fbc976d23ea~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_77c799e3-7afa-4ee0-b2e8-af47c3ce70ff,MEDIA,,,,,,b10e01_729cef97d1e54bbdb43fe84f93025c11~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_214b5648-5385-4694-96fe-05c556db05a1,PRODUCT,Butterfly Pearl Drop Earrings – 18K Gold Plated Elegant Jewelry,true,"<p>Bring timeless charm to your collection with these butterfly pearl drop earrings. Featuring a delicate butterfly design with a lustrous pearl drop, these earrings combine femininity and elegance. Crafted with stainless steel and 18K gold plating, they are perfect for weddings, festive wear, or classy everyday styling.</p>",earrings,earrings,,,,Luxereva,899,1999,,IN_STOCK,false,,,L1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product_214b5648-5385-4694-96fe-05c556db05a1,MEDIA,,,,,,b10e01_9f6a733078b6478ca3fedafe8c011a46~mv2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
